"","Collaborative","Date","Dogs","Equipment","NoActivity","Other","Power_Boats","Powered.Boats","Precipation","Precipitation","Ratio","Ratio_LESA","Ratio_WESA","RecordID","Sea_State","Site","SiteID","SiteName","Survey.Site","Tide_End","Tide_Start","Tide_State_End","Tide_State_Start","Time_End","Time_Start","Unpowered.Boats","Unpowered_Boat","Vis_Reason","Visibility","Walkers","Weather","YES_NO_WESA_Obs","Year","Month","Day"
"111","Collaborative",2014-07-20,"3","Both","","6 cyclists; 6 joggers","","","Rain","","","","","BB122014720","Rippled","","BB12","","Boundary Bay 112","","","High-tide","Low-tide","13:50","12:00",NA,"","","500m","15","Overcast","I saw at least 1 WESA during the survey","2014","7","20"
"112","",2013-08-17,"","Spotting scope","No activity","","","","","None","","","","BB042013817","Rippled","Boundary Bay 104 St","BB04","","","3.9m","3.2m","High-tide","Mid-high","'16:15","'13:45",NA,"","","1km","","Overcast","I did not observe any Western Sandpipers during the entire survey","2013","8","17"
"113","",2013-07-19,"2","Spotting scope","","","0","","","None","","","","SJEN2013719","","Jensens_S","SJEN","","","","","High-tide","Mid-low","'20:00","'18:00",NA,"0","","500m","0","Partly-Cloudy","I did observe any Western Sandpipers during the entire survey","2013","7","19"
"114","Single Observer",2014-08-17,"6","Binoculars","","2","0","","None","","","?","?","BBMB2014817","Rippled","","BBMB","","Boundary Bay Mud Bay","","","High-tide","Mid-high ","12:30","10:05",NA,"0","","1km","12","Partly-Cloudy","I saw at least 1 WESA during the survey","2014","8","17"
"115","",2013-08-18,"","Spotting scope","No activity","","","","","None","","","","BB042013818","Calm","Boundary Bay 104 St","BB04","","","4.0m","2.9m","High-tide","Mid-high","'16:30","'14:00",NA,"","Glare","1km","","Overcast","I saw at least 1 WESA during the survey","2013","8","18"
"116","",2013-08-18,"","","No activity","","","","","None","","","","PEDD2013818","Calm","Pedder Bay","PEDD","","","Mid-tide","Low tide","Mid-tide","Low-tide","'10:30 AM","'8:00 AM",NA,"","","1km","","Overcast","I did not observe any Western Sandpipers during the entire survey","2013","8","18"
"117","Collaborative",2015-08-16,"","Both","","","","","None","","","","","NJEN2015816","","","NJEN","Jensens Bay N","","","","High-tide","Mid-low ","13:15","11:15",NA,"","","1km","","Clear","I saw at least 1 WESA during the survey","2015","8","16"
"118","",2013-08-17,"'10-20","Binoculars-only","","","0","","","None","","","","BBSV2013817","Rippled","Boundary Bay- Seaview","BBSV","","","High-Tide","Mid-High","High-tide","Mid-high","1615","1345",NA,"0","","1km","75-100","Partly-Cloudy","I saw at least 1 WESA during the survey","2013","8","17"
"119","",2013-08-18,"'10-20","Binoculars-only","","","0","","","None","","","","BBSV2013818","Rippled","Boundary Bay- Seaview","BBSV","","","High-Tide","Mid-Low","High-tide","Mid-low","1630","1400",NA,"0","","1km","50-75","Partly-Cloudy","I did not observe any Western Sandpipers during the entire survey","2013","8","18"
"120","",2013-07-19,"1 off leash","Spotting scope","","","see below","","","None","","","","BB042013719","Rippled","Boundary Bay 104","BB04","","","3.8m","2.8m","High-tide","Mid-high","'16:00","'13:30",NA,"see below","Glare","500m","2","Clear","","2013","7","19"
"121","",2013-08-17,"1","Binoculars-only","","","","","","None","","","","COMX2013817","Rippled","Comox2","COMX","","","8.8","4","Mid-high","Mid-low","1230","1000 local",NA,"","","1km","2","Partly-Cloudy","I saw at least 1 WESA during the survey","2013","8","17"
"122","Single Observer",2015-07-18,"","Both Binoculars and Scope","","","","","","None","","","","KENN2015718","Calm","","KENN","Kennedy Creek","","","","Mid-low","High-tide","11:19:00 AM","8:45:00 AM",NA,"","","1km","","Partly-Cloudy","I saw at least 1 WESA during the survey","2015","7","18"
"123","",2013-08-18,"","","","","","","","None","","","","COMX2013818","Rippled","Comox2","COMX","","","9","3.6","Mid-high","Mid-low","1330","1100",NA,"","","1km","two","Overcast","I saw at least 1 WESA during the survey","2013","8","18"
"124","",2013-08-16,"","Spotting scope","No activity","","","","","Rain","","","","GRIC2013816","Rippled","Grice Bay","GRIC","","","","","High-tide","Mid-high","1915","1800",NA,"","Weather","500m","","Overcast","I did not observe any Western Sandpipers during the entire survey","2013","8","16"
"125","",2013-08-18,"7","","","","","","","None","","","","FANY2013818","Rippled","Fanny Bay","FANY","","","","","","Mid-low","'15:00","'12:30",NA,"","","1km","19","Partly-Cloudy","I saw at least 1 WESA during the survey","2013","8","18"
"126","Independent",2014-07-20,"2","Both Binoculars and Scope","","","","","","None","10 WESA; 20 LESA","","","SANM2014720","Calm","San Malo Bay","SANM","","","","","Mid-high","Low-tide","0.541666667","0.458333333",NA,"2","","1km","6","Overcast","I saw at least 1 WESA during the survey","2014","7","20"
"127","",2013-08-18,"1","Spotting scope","","","","","","None","","","","BB722013818","Rippled","FRD72nd","BB72","","","High tide","mid-low","High-tide","Mid-low","1600","1410",NA,"","","1km","7","Overcast","I saw at least 1 WESA during the survey","2013","8","18"
"128","",2013-07-20,"4","Binoculars-only","","","","","","None","","","","ALHE2013720","Calm","Albert Head Lagoon outflow","ALHE","","","Mid","Low","Mid-tide","Low-tide","'11:30","'9:00",NA,"","","1km","15","Clear","","2013","7","20"
"129","",2013-08-16,"4","Spotting scope","","","","","","None","","","","ISVI2013816","Calm","Island View Beach","ISVI","","","low tide","low tide","Low-tide","Low-tide","'08:05","'07:05",NA,"","Weather","<100","5","Fog","I did not observe any Western Sandpipers during the entire survey","2013","8","16"
"130","",2013-08-18,"3 average","Spotting scope","","","","","","None","","","","ISVI2013818","Choppy","Island View Beach","ISVI","","","low tide","low tide","Low-tide","Low-tide","'09:00","'08:00",NA,"","","1km","6 average","Partly-Cloudy","I saw at least 1 WESA during the survey","2013","8","18"
"131","",2013-07-21,"","Spotting scope","","","","","","","","","","SDNY2013721","Wavy","Sidney Island (Brick Dock)","SDNY","","","Mid High","extremly low","Mid-high","Low-tide","1430","1200",NA,"","","1km","one walker on the mud flats","Clear","I saw at least 1 WESA during the survey","2013","7","21"
"132","",2013-08-18,"","Spotting scope","","","","","","None","","","","SDNY2013818","Choppy","Sidney Island (far end lagoon)","SDNY","","","Mid High","Mid Low","Mid-high","Mid-low","1430","1200",NA,"","","1km","2","Overcast","I saw at least 1 WESA during the survey","2013","8","18"
"133","",2013-08-17,"0","Binoculars-only","","","0","","","None","","","","SQUA2013817","Rippled","Squamish Estuary","SQUA","","","","","","","'11:30 am","'9:00 am",NA,"0","","100m","1","Clear","I did not observe any Western Sandpipers during the entire survey","2013","8","17"
"134","",2013-08-18,"","","","","","","","","","","","COWC2013818","","Cowichan Bay","COWC","","","","","","","UNK","UNK",NA,"","","","","","I did not observe any Western Sandpipers during the entire survey","2013","8","18"
"135","Collaborative",2013-07-21,"","Both","","","","","None","","","","","FRCR2013721","Choppy","","FRCR","","French Creek","","","Mid-tide","Mid-low ","14:30","11:00",NA,"","","1km","","Clear","I saw at least 1 WESA during the survey","2013","7","21"
"136","Single Observer",2013-07-19,"","","","","","","","","","","","KENN2013719","","","KENN","","Kennedy Creek","","","","","15:00","13:00",NA,"","","","","","I did not observe any Western Sandpipers during the entire survey","2013","7","19"
"137","Independent ",2015-08-15,"0.0","Both Binoculars and Scope","","","0","","","None","0","","","SQUA2015815","Calm","","SQUA","Squamish Estuary","","MIDHIGH","MIDLOW","Mid-high","Mid-low","3:00:00 PM","1:00:00 PM",NA,"0","","1km","2","Overcast","I did not observe any Western Sandpipers during the entire survey","2015","8","15"
"138","",2013-07-19,"","Binoculars-only","No activity","","","","","None","","","","PNMA2013719","","Panama Flats","PNMA","","","not applicable","not applicable","","","1030","800",NA,"","","1km","","Clear","I did not observe any Western Sandpipers during the entire survey","2013","7","19"
"139","",2013-07-21,"","Binoculars-only","No activity","","","","","None","","","","PNMA2013721","","Panama Flats","PNMA","","","","","","","1230","1000",NA,"","","1km","","Clear","I did not observe any Western Sandpipers during the entire survey","2013","7","21"
"140","Collaborative",2015-07-20,"6.0","Both Binoculars and Scope","","","0","","","None","","","","ISVI2015720","Choppy","","ISVI","Island View","","1.9","1.1","Mid-high","Mid-low","5:30:00 PM","3:00:00 PM",NA,"0","","1km","12","Clear","I did not observe any Western Sandpipers during the entire survey","2015","7","20"
"141","Collaborative",2014-07-19,"","Both Binoculars and Scope","","","","","","None","","","","ESQU2014719","Rippled","Esquimalt Lagoon","ESQU","","","mid-low","mid-low","Mid-low","Mid-low","0.39583333299999995","0.291666667",NA,"1","","1km","3","Overcast","I saw at least 1 WESA during the survey","2014","7","19"
"142","",2013-08-18,"1","Spotting scope","","","0","","","None","","","","VRYL2013818","Rippled","View Royal","VRYL","","","0.6 m","0.3 m","Mid-low","Low-tide","'10:00","'08:00",NA,"0","","1km","3","Partly-Cloudy","I did not observe any Western Sandpipers during the entire survey","2013","8","18"
"143","",2013-08-18,"","Spotting scope","","","","","","None","","","","CHEM2013818","Rippled","Chemainus River Estuary","CHEM","","","1.75M","0.7M","Mid-low","Low-tide","1230","1000",NA,"","","1km","","Overcast","I saw at least 1 WESA during the survey","2013","8","18"
"144","",2013-07-20,"","Spotting scope","No activity","","","","","None","","","","ROGH2013720","Calm","Rough Bay","ROGH","","","2.0 m","1.0 m","Mid-tide","Low-tide","934","700",NA,"","","1km","","Overcast","I did not observe any Western Sandpipers during the entire survey","2013","7","20"
"145","",2013-08-17,"2","Spotting scope","","","0","","","None","","","","DEEP2013817","Choppy","deep bay","DEEP","","","3.0 m","1.8 m","Mid-high","Mid-low","'13:30","'11:00",NA,"0","","1km","2","Partly-Cloudy","I saw at least 1 WESA during the survey","2013","8","17"
"146","Collaborative",2015-08-15,"","Both Binoculars and Scope","","","","","","None","86 WESA; 38 LESA","","","WITT2015815","Rippled","","WITT","Wittys Lagoon","","Low","Low","Low-tide","Low-tide","1:00:00 PM","10:30:00 AM",NA,"","","1km","6","Overcast","I saw at least 1 WESA during the survey","2015","8","15"
"147","",2013-07-21,"","Spotting scope","","","1","","","None","","","","ROGH2013721","Rippled","Rough Bay","ROGH","","","1.9 m","0.6 m","Mid-tide","Low-tide","934","700",NA,"","","1km","1","Overcast","I did not observe any Western Sandpipers during the entire survey","2013","7","21"
"148","",2013-08-18,"1","Spotting scope","","","","","","None","","","","ROGH2013818","Rippled","Rough Bay","ROGH","","","2.5","2.4 m","Low-tide","Mid-low","1834","1600",NA,"","","1km","1","Overcast","I saw at least 1 WESA during the survey","2013","8","18"
"149","",2013-08-17,"","Spotting scope","No activity","","","","","None","","","","CROC2013817","","Crockett's Lake","CROC","","","","","","","'12:00pm","'10:00am",NA,"","","1km","","Overcast","I saw at least 1 WESA during the survey","2013","8","17"
"150","Independent",2015-07-18,"","Both","","","","","None","","","","","SJEN2015718","Calm","","SJEN","Jensens Bay S","","","","High-tide","Mid-low ","14:00","12:00",NA,"","","1km","","Clear","I saw at least 1 WESA during the survey","2015","7","18"
"151","",2013-08-17,"","Binoculars-only","","","5","","","None","","","","SHPO2013817","Choppy","Fanny Bay","SHPO","","","","","Mid-tide","Mid-low","1230","1100",NA,"2","","1km","","Partly-Cloudy","I did not observe any Western Sandpipers during the entire survey","2013","8","17"
"152","",2013-08-17,"0","Spotting scope","","","1","","","None","","","","VRYL2013817","Calm","View Royal","VRYL","","","1.0 m","0.3 m","Mid-low","Low-tide","'09:30","'07:00",NA,"0","","1km","1","Partly-Cloudy","I did not observe any Western Sandpipers during the entire survey","2013","8","17"
"153","",2013-08-19,"","Binoculars-only","","","4","","","None","","","","SHPO2013819","Choppy","Fanny Bay","SHPO","","","","","","","1330","1200",NA,"","","1km","","Partly-Cloudy","I did not observe any Western Sandpipers during the entire survey","2013","8","19"
"154","",2013-08-18,"Many","Binoculars-only","","","Many","","","Rain","","","","WHIF2013818","Choppy","","WHIF","","","Mid-high","Low-mid","Mid-high","Mid-low","'10:45am","'8:30am",NA,"A few","Weather","500m","Many","Overcast","I did not observe any Western Sandpipers during the entire survey","2013","8","18"
"155","",2013-07-20,"","Binoculars-only","","","","","","None","","","","BB922013720","Calm","BB92","BB92","","","","","","Mid-tide","'16:00","'14:00",NA,"","","1km","50","Clear","I saw at least 1 WESA during the survey","2013","7","20"
"156","I saw at least 1 WESA during the survey",2014-08-15,"","Binoculars","","","","","None","","","","","COMX2014815","Calm","","COMX","","Comox Harbour","10.9","7.8","Mid-tide","Mid-tide","1830","1600",NA,"","","1km","","Overcast","Yes","2014","8","15"
"157","",2013-07-21,"","Binoculars-only","","","","","","None","","","","BB922013721","Calm","BB92","BB92","","","","","","Mid-tide","'16:30","'14:45",NA,"","","1km","","Clear","I saw at least 1 WESA during the survey","2013","7","21"
"158","",2013-07-20,"","","No activity","","","","","","","","","GRIC2013720","","Grice Bay","GRIC","","","","","","","'20:00","'17:30",NA,"","","","","","I did not observe any Western Sandpipers during the entire survey","2013","7","20"
"159","",2013-07-21,"","","No activity","","","","","","","","","GRIC2013721","","Grice Bay","GRIC","","","","","","","'20:00","'15:30",NA,"","","","","","I did not observe any Western Sandpipers during the entire survey","2013","7","21"
"160","",2013-08-16,"","Spotting scope","No activity","","","","","None","","","","PEDD2013816","Calm","Pedder Bay","PEDD","","","1.8 metres","1.7 metres","High-tide","Mid-high","1530","1300",NA,"","","1km","","Partly-Cloudy","I did not observe any Western Sandpipers during the entire survey","2013","8","16"
"161","Single Observer",2014-08-17,"0","Both","","Bikes -11; Horses - 2","0.0","","None","","","6","82","BB922014817","Calm","","BB92","","Boundary Bay 92","","","Mid-tide","Mid-low ","12:30","10:00",NA,"0.0","","1km","15","Partly-Cloudy","I saw at least 1 WESA during the survey","2014","8","17"
"162","I saw at least 1 WESA during the survey",2014-08-16,"","Binoculars","","","","","None","","","","","COMX2014816","Rippled","","COMX","","Comox Harbour","11","8.3","Mid-tide","Mid-tide","1900","1630",NA,"","","1km","","Clear","Yes","2014","8","16"
"163","Independent",2014-07-19,"","Both","","Planes-3","","","None","","","","","BB922014719","Wavy","","BB92","","Boundary Bay 92","","","Mid-high ","Mid-high ","13:30","11:00",NA,"","Other","500m","","Partly-Cloudy","I saw at least 1 WESA during the survey","2014","7","19"
"164","Collaborative",2014-07-20,"0","Both","","0","0.0","","Rain","","","30","123","BB922014720","Rippled","","BB92","","Boundary Bay 92","","","Mid-high ","Mid-high ","14:30","12:00",NA,"0.0","Weather","500m","0","Overcast","I saw at least 1 WESA during the survey","2014","7","20"
"165","Single Observer",2015-07-19,"1","Both","","","","1 skidoo","None","","","","","ENBO2015719","Rippled","","ENBO","English Boom","","","","High-tide","Mid-high ","20:00","17:30",NA,"","","1km","35","Clear","I saw at least 1 WESA during the survey","2015","7","19"
"166","",2013-07-21,"0","Binoculars-only","","","0","","","None","","","","IONA2013721","Choppy","Iona","IONA","","","high","mid","High-tide","Mid-high","1545","1345",NA,"0","","1km","100","Clear","","2013","7","21"
"167","",2014-07-21,"","Both","","","","","None","","","","","BB922014721","Rippled","","BB92","","Boundary Bay 92","","","High-tide","Mid-tide","15:30","13:00",NA,"","","1km","","Clear","I saw at least 1 WESA during the survey","2014","7","21"
"168","Single Observer",2014-07-19,"","Both","","","","","None","","","","","CHEM2014719","Rippled","","CHEM","","Chemainus River Delta","","","Mid-tide","Low-tide","9:30","7:00",NA,"","","1km","","Overcast","I saw at least 1 WESA during the survey","2014","7","19"
"169","Single Observer",2014-07-19,"","Both","","","","","None","","","","","KENN2014719","Calm","","KENN","","Kennedy Creek","","","Mid-tide","Mid-low ","11:38","8:50",NA,"","","1km","","Partly-Cloudy","I saw at least 1 WESA during the survey","2014","7","19"
"170","Single Observer",2014-08-15,"","Both","","","","","None","","","3","373","KENN2014815","Calm","","KENN","","Kennedy Creek","","","Mid-low ","Mid-high ","14:08","11:45",NA,"","","1km","","Partly-Cloudy","I saw at least 1 WESA during the survey","2014","8","15"
"171","Single Observer",2014-08-16,"","Both","","","","","None","","","","","KENN2014816","Calm","","KENN","","Kennedy Creek","","","Mid-low ","Mid-high ","15:00","12:30",NA,"","","1km","","Partly-Cloudy","I saw at least 1 WESA during the survey","2014","8","16"
"172","Independent",2014-07-19,"4","Both","","","","","None","","","","","PIPE2014719","Rippled","","PIPE","","Pipers Lagoon","","","High-tide","Low-tide","11:00","9:00",NA,"2.0","","1km","19","Overcast","I did not observe any Western Sandpipers during the entire survey","2014","7","19"
"173","Single Observer",2015-07-17,"","Both Binoculars and Scope","No activity","","","","","None","","","","KENN2015717","Calm","","KENN","Kennedy Creek","","mid-low","high","Mid-low","High-tide","10:38:00 AM","8:00:00 AM",NA,"","","1km","","Partly-Cloudy","I saw at least 1 WESA during the survey","2015","7","17"
"174","",2013-07-21,"25","Spotting scope","","","20","","","None","","","","WHIF2013721","Rippled","Whiffen Spit, Sooke","WHIF","","","Mid-tide","Low-tide","Mid-tide","Low-tide","1130","900",NA,"","","1km","50","Partly-Cloudy","","2013","7","21"
"175","Independent",2014-08-16,"4","Both","","","","","None","","","","","PIPE2014816","Rippled","","PIPE","","Pipers Lagoon","","","High-tide","Low-tide","9:30","7:30",NA,"","","1km","9","Overcast","I did not observe any Western Sandpipers during the entire survey","2014","8","16"
"176","Single Observer",2015-07-19,"3","Both","","","","","None","","","0.0","","BBMB2015719","Rippled","","BBMB","Boundary Bay Mud Bay","","","","High-tide","Mid-low ","19:45","17:15",NA,"","Other","500m","15","Clear","","2015","7","19"
"177","Independent",2014-08-17,"3","Both","","","","","None","","","0","5","PIPE2014817","Rippled","","PIPE","","Pipers Lagoon","","","Mid-high ","Low-tide","10:30","8:30",NA,"","","1km","18","Clear","I saw at least 1 WESA during the survey","2014","8","17"
"178","Independent",2014-08-15,"","Both","","","","","None","","","","","NJEN2014815","Calm","","NJEN","","Jensens Bay N","","","High-tide","Mid-high ","15:50","14:40",NA,"2.0","","1km","","Overcast","I saw at least 1 WESA during the survey","2014","8","15"
"179","Independent",2014-08-16,"","Both","","","","","None","","","","","NJEN2014816","Rippled","","NJEN","","Jensens Bay N","","","High-tide","Mid-tide","17:30","15:00",NA,"","","1km","","Partly-Cloudy","I saw at least 1 WESA during the survey","2014","8","16"
"180","Independent",2014-08-17,"","Both","","","","","None","","","","","NJEN2014817","Calm","","NJEN","","Jensens Bay N","","","High-tide","Low-tide","18:30","15:00",NA,"","Weather","250m","","Fog","I saw at least 1 WESA during the survey","2014","8","17"
"181","Collaborative",2014-08-16,"","Both","","","","","None","","","65/12","160/65","CROC2014816","","","CROC","","Crockett Lake","","","","","9:35","7:35",NA,"","Other","500m","","Partly-Cloudy","I saw at least 1 WESA during the survey","2014","8","16"
"182","Collaborative",2014-07-19,"","Binoculars","","","","","None","","","","","NJEN2014719","Calm","","NJEN","","Jensens Bay N","","","High-tide","Mid-low ","18:30","16:00",NA,"","","1km","","Overcast","I saw at least 1 WESA during the survey","2014","7","19"
"183","Collaborative",2015-07-19,"2.0","Binoculars","","","","84.0","None","","","","","WHIF2015719","Rippled","","WHIF","Whiffin Spit Park","","5","45","Mid-high ","Mid-tide","14:30","12:00",5,"","","500m","16.0","Clear","I did not observe any Western Sandpipers during the entire survey","2015","7","19"
"184","Collaborative",2014-07-19,"3","Both","","6 Joggers; Cyclists 5","","","None","","","","","BB122014719","Choppy","","BB12","","Boundary Bay 112","","","High-tide","Low-tide","12:30","11:00",NA,"","","1km","5","Partly-Cloudy","I did not observe any Western Sandpipers during the entire survey","2014","7","19"
"185","Independent",2014-07-20,"3","Both","","","","","Rain","","","","","PIPE2014720","Rippled","","PIPE","","Pipers Lagoon","","","High-tide","Low-tide","13:00","11:00",NA,"1.0","","500m","7","Overcast","I did not observe any Western Sandpipers during the entire survey","2014","7","20"
"186","Collaborative",2015-07-19,"","","","","","","None","","","0.0","1","FRCR2015719","Calm","","FRCR","French Creek","","3.8","2.2","Mid-high ","Mid-low ","19:00","16:30",2,"","","1km","","Clear","I saw at least 1 WESA during the survey","2015","7","19"
"187","Single Observer",2014-07-21,"2","Both","","cyclists 10","","","None","","","","","BB122014721","Rippled","","BB12","","Boundary Bay 112","","","High-tide","Low-tide","15:30","13:00",NA,"","","1km","8","Clear","I saw at least 1 WESA during the survey","2014","7","21"
"188","",2013-08-17,"","Spotting scope","No activity","","","","","None","","","","SJEN2013817","Calm","Jensens_S","SJEN","","","","","High-tide","Mid-high","'11:30","'9:00",NA,"","","500m","","Fog","I saw at least 1 WESA during the survey","2013","8","17"
"189","Collaborative",2014-08-16,"> 0","Both","","Cyclists","","","Rain","","","30","70","BB122014816","Rippled","","BB12","","Boundary Bay 112","","","High-tide","Low-tide","11:10","9:00",NA,"","Weather","250m","> 0","Overcast","I saw at least 1 WESA during the survey","2014","8","16"
"190","Collaborative",2014-08-17,"> 0","Both","","Cyclists","","","None","","","","","BB122014817","Rippled","","BB12","","Boundary Bay 112","","","High-tide","Low-tide","12:15","10:00",NA,"","","","> 0","Partly-Cloudy","I saw at least 1 WESA during the survey","2014","8","17"
"191","",2013-08-18,"","Spotting scope","No activity","","","","","None","","","","EIDE2013818","Choppy","Leque Island","EIDE","","","10 ft (high)","8","High-tide","Mid-high","'16:00","'14:00",NA,"","","1km","","Partly-Cloudy","I saw at least 1 WESA during the survey","2013","8","18"
"192","Single Observer",2014-07-19,"","Both","","","","","None","","","","","SDNY2014719","Choppy","","SDNY","","Sidney Island","","","Mid-tide","Mid-low ","10:12","7:50",NA,"","","1km","","Overcast","I saw at least 1 WESA during the survey","2014","7","19"
"193","Collaborative",2014-08-16,"0","Both Binoculars and Scope","","","0.0","","","None","","","","ESQU2014816","Rippled","Esquimalt Lagoon","ESQU","","","mid-low","mid-low","Mid-low","Mid-low","0.645833333","1:00:00 PM",NA,"0","","1km","12","Overcast","I saw at least 1 WESA during the survey","2014","8","16"
"194","Single Observer",2014-08-16,"","Spotting Scope","","","1.0","","None","","","24","112","SDNY2014816","Rippled","","SDNY","","Sidney Island","","","Mid-high ","Mid-low ","17:45","15:00",NA,"","Glare","","3","Partly-Cloudy","I saw at least 1 WESA during the survey","2014","8","16"
"195","Single Observer",2014-08-15,"","Spotting Scope","","10 children playing at campground beach","","","None","","","","","SDNY2014815","Rippled","","SDNY","","Sidney Island","","","Mid-tide","Mid-low ","16:30","14:10",NA,"","Glare","500m","2","Overcast","I saw at least 1 WESA during the survey","2014","8","15"
"196","Independent",2014-07-20,"","Both Binoculars and Scope","No activity","","","","","","0 LESA:>5000 WESA/peeps","","","BB722014720","Rippled","Boundary Bay - 72nd","BB72","","","high tide","mid low","High-tide","Mid-low","0.604166667","0.510416667",NA,"","Weather","1km","","Overcast","I saw at least 1 WESA during the survey","2014","7","20"
"197","Independent",2014-08-17,"8","Binoculars","","20bikes","0.0","","None","","","0","0","BBSV2014817","Rippled","","BBSV","","Boundary Bay Seaview","","","High-tide","Mid-high ","12:30","10:00",NA,"2.0","","250m","60","Partly-Cloudy","I saw at least 1 WESA during the survey","2014","8","17"
"198","Single Observer",2014-08-18,"4","Binoculars","","40bikes","0.0","","None","","","0","0","BBSV2014818","Rippled","","BBSV","","Boundary Bay Seaview","","","High-tide","Mid-high ","13:30","12:00",NA,"0.0","","250m","45","Partly-Cloudy","I did not observe any Western Sandpipers during the entire survey","2014","8","18"
"199","Single Observer",2014-07-20,"","Both","","","","","None","","","","","RBBP2014720","Calm","","RBBP","","Roberts Bank","","","Mid-high ","Mid-low ","14:30","12:30",NA,"","Glare","500m","","Overcast","I saw at least 1 WESA during the survey","2014","7","20"
"200","Collaborative",2014-08-17,"","Both","","","","","None","","","","","CROC2014817","","","CROC","","Crockett Lake","","","","","11:00","9:00",NA,"","Weather","<100","","Fog","I saw at least 1 WESA during the survey","2014","8","17"
"201","Collaborative",2014-07-18,"no","both","","no","no","","none","","","2","67","CROC2014718","Wavy","","CROC","","Crockett Lake","","","","","12:00","10:00",NA,"no","Other","250m","no","Partly-cloudy","Yes","2014","7","18"
"202","Single Observer",2015-08-15,"","Both","","","","","None","","","","","NJEN2015815","Rippled","","NJEN","Jensens Bay N","","","","High-tide","Low-tide","13:30","10:45",NA,"","","1km","4","Partly-Cloudy","I saw at least 1 WESA during the survey","2015","8","15"
"203","Collaborative",2014-07-19,"no","both","","no","no","","none","","","8","152","CROC2014719","Wavy","","CROC","","Crockett Lake","","","","","10:30","8:30",NA,"no","Other","500m","no","Overcast","Yes","2014","7","19"
"204","Single observer",2014-07-20,"","","","","","","none","","","undetermined","undetermined","CROC2014720","Wavy","","CROC","","Crockett Lake","","","","","9:30","7:30",NA,"","Other","500m","","Overcast","Yes","2014","7","20"
"205","Single Observer",2014-08-17,"5","Binoculars","","Bikers - 30","0","","None","","","","","IONA2014817","Calm","","IONA","","Iona Island","","","High-tide","Mid-tide","10:15","8:00",NA,"0","Other","250m","30","Clear","","2014","8","17"
"206","Collaborative",2014-08-16,"5","Both","","Bikers - 20","0","","None","","","","","IONA2014816","Calm","","IONA","","Iona Island","","","High-tide","Mid-tide","9:15","7:30",NA,"0","Other","250m","20","Overcast","I saw at least 1 WESA during the survey","2014","8","16"
"207","",2013-08-17,"2","Spotting scope","","","0","","","None","","","","ESQU2013817","Calm","Esquimalt Lagoon","ESQU","","","1.01 m","0.51 m","Mid-low","Low-tide","930","700",NA,"0","","1km","4","Overcast","I did observe any Western Sandpipers during the entire survey","2013","8","17"
"208","",2014-07-19,"","Both","","","","","Rain","","","","","ROGH2014719","Rippled","","ROGH","","Rough Bay","","","Mid-low ","Low-tide","1530","1300",NA,"","","1km","2","Overcast","I saw at least 1 WESA during the survey","2014","7","19"
"209","Single Observer",2015-07-19,"0","Both","","","","","None","","","","","SHPO2015719","Calm","","SHPO","Ships Point","","","","Mid-high ","Mid-tide","18:45","16:30",NA,"","","1km","3","Clear","I did not observe any Western Sandpipers during the entire survey","2015","7","19"
"210","Single Observer",2014-07-19,"4","Spotting Scope","","0","0","","None","","","?","?","BBMB2014719","Choppy","","BBMB","","Boundary Bay Mud Bay","","","High-tide","Mid-high ","1:30","11:00",NA,"0","","1km","12","Overcast","I did not observe any Western Sandpipers during the entire survey","2014","7","19"
"211","Single Observer",2014-07-20,"3","Spotting Scope","","0","0","","None","","","?","?","BBMB2014720","Rippled","","BBMB","","Boundary Bay Mud Bay","","","High-tide","Mid-high ","2:30","12:00",NA,"0","","1km","12","Overcast","I saw at least 1 WESA during the survey","2014","7","20"
"212","Single Observer",2014-08-16,"4","Binoculars","","0","0","","Rain","","","?","?","BBMB2014816","Calm","","BBMB","","Boundary Bay Mud Bay","","","High-tide","Mid-high ","11:30","9:00",NA,"0","","1km","12","Overcast","I saw at least 1 WESA during the survey","2014","8","16"
"213","",2014-07-18,"","Both","","No Activity","","","Rain","","","","","GRIC2014718","Calm","","GRIC","","Grice Bay","Mid-high ","Mid-low ","Mid-high ","Mid-low ","1600","1330",NA,"","Glare","500m","","Partly-Cloudy","I did not observe any Western Sandpipers during the entire survey","2014","7","18"
"214","",2014-07-19,"","Both","","No Activity","","","None","","","","","GRIC2014719","Calm","","GRIC","","Grice Bay","Mid-high ","Mid-low ","Mid-high ","Mid-low ","1630","1400",NA,"","Glare","500m","","Partly-Cloudy","I did not observe any Western Sandpipers during the entire survey","2014","7","19"
"215","",2014-07-20,"","Both","","No Activity","","","None","","","","","GRIC2014720","Calm","","GRIC","","Grice Bay","Mid-high ","Mid-low ","Mid-high ","Mid-low ","1730","1500",NA,"","Glare","500m","","Partly-Cloudy","I did not observe any Western Sandpipers during the entire survey","2014","7","20"
"216","",2014-07-18,"","Nikon Monarch camera","","","","","","","","","","COMX2014718","Rippled","","COMX","","Comox Harbour","Mid-high ","Mid-low ","","","19:30","17:00",NA,"","","1 Km","","clear","no peeps","2014","7","18"
"217","",2014-07-19,"","Nikon Monarch camera","","","","","","","","","","COMX2014719","Rippled","","COMX","","Comox Harbour","Mid-high ","Mid-low ","","","10:00","       07:30",NA,"","","1 Km","","clear","no peeps","2014","7","19"
