"","X","AttackLength","Attack_Source","Attack_Type","Behaviour","Comments","Count","Date","Day","F_CountNum","Further","Further_ANY","Further_Duplicate","Group","ID","Month","ObsNum","PreySpecies","RecordID","Site","SiteID","Species","Success","Successful.","Time","Year"
"123",1799,"","","","Perch high","","1.0","",NA,3,"Yes","","","Falcon","WITT2015815_F3",NA,NA,"","WITT2015815","","WITT","Merlin","","","11:00",NA
"124",752,"","","","Flying","","1","",NA,1,"","No","","Falcon","SDNY2013720_F1",NA,NA,"barn swallows","SDNY2013720","","SDNY","Peregrine Falcon","","","1000",NA
"125",1811,"Single attempt","From cover","Low surprise","Attack","","1.0","",NA,3,"Yes","","","Falcon","EIDE2015816_F3",NA,NA,"","EIDE2015816","","EIDE","Merlin","No","","18:08",NA
"126",633,"","","","Flying","","1","",NA,2,"No","","","Falcon","CHEM2013818_F2",NA,NA,"","CHEM2013818","","CHEM","Merlin","","","'10:30",NA
"127",1880,"Single attempt","approached from across lagoon","Low surprise","Perch high, Attack","","1.0","",NA,2,"Yes","","","Falcon","WITT2015815_F2",NA,NA,"Western Sandpiper, some LESA in flock","WITT2015815","","WITT","Merlin","No","","10:45",NA
"128",1902,"","","","Flying","","1.0","",NA,2,"Yes","","","Falcon","PIPE2015719_F2",NA,NA,"","PIPE2015719","","PIPE","Merlin","","","18:43",NA
"129",1942,"","","","Flying","","1.0","",NA,1,"","No","","Falcon","SHPO2015816_F1",NA,NA,"","SHPO2015816","","SHPO","Merlin","","","5:10:00 PM",NA
"130",1518,"2-5 attempts ","","Stooping","4) Attack ","2 attempts, after peeps","1.0","17-Aug-14",17,NA,"","","","FALCON","BB122014817_F2",8,2,"WESA","BB122014817","Boundary Bay 112","BB12","PEFA","","No","11:55",2014
"131",1957,"Single attempt","unknown","Unknown","Flying","","1.0","",NA,1,"","No","","Falcon","FANY2015815_F1",NA,NA,"Western Sandpiper","FANY2015815","","FANY","Merlin","No","","4:52:00 PM",NA
"132",1958,"Single attempt","unknown","Unknown","Flying","","1.0","",NA,1,"","No","","Falcon","FANY2015816_F1",NA,NA,"Western Sandpiper","FANY2015816","","FANY","Merlin","No","","5:20:00 PM",NA
"133",1960,"Single attempt","already flying when first noted","Low surprise","Attack","","1.0","",NA,1,"","No","","Falcon","WITT2015719_F1",NA,NA,"peeps and kildeers","WITT2015719","","WITT","Merlin","","","11:55:00 AM",NA
"134",1961,"","","","Perch on mudflat/stump","","1.0","",NA,1,"","Yes","","Falcon","WITT2015815_F1",NA,NA,"","WITT2015815","","WITT","Merlin","No","","10:30:00 AM",NA
"135",1983,"","","","Perch high","","3.0","",NA,1,"","Yes","","Falcon","PIPE2015719_F1",NA,NA,"","PIPE2015719","","PIPE","Merlin","","","6:00:00 PM",NA
"136",1984,"","","","Perch high, Flying","","1.0","",NA,1,"","No","","Falcon","PIPE2015717_F1",NA,NA,"","PIPE2015717","","PIPE","Merlin","","","6:14:00 PM",NA
"137",1973,"2-5 attempts ","From above","Stooping","Attack","","1.0","",NA,1,"","Yes","","Falcon","EIDE2015816_F1",NA,NA,"Western Sandpiper","EIDE2015816","","EIDE","Peregrine Falcon","No","","5:40:00 PM",NA
"138",780,"Single attempt","From cover","Low surprise","4) Attack ","had been wheeling over crows on sandspit","1","20-Jul-13",20,NA,"","","","FALCON","WITT2013720_F1",7,1,"WESA","WITT2013720","Wittys Lagoon","WITT","MERL","","No","10:10",2013
"139",1512,"Single attempt","From above","Stooping","4) Attack ","Same MERL as above, attacked from tree as soon as Peeps arrived. More details in PDF","1.0","17-Aug-14",17,NA,"","","","FALCON","GRIC2014817_F2",8,2,"WESA","GRIC2014817","Grice Bay","GRIC","MERL","","No","14:30",2014
"140",1513,"","","","3) Flying","Flying East","1.0","16-Aug-14",16,NA,"","","","FALCON","BB122014816_F1",8,1,"","BB122014816","Boundary Bay 112","BB12","MERL","","","8:37",2014
"141",1525,"Single attempt","Unknown","Unknown","4) Attack ","Merline flushed all in middle of count came on to S and landed on platform. No capture. Peeps resettled to N. 0845 JoR. Saw MERL Catch rodent (vole?) and carried it to S","1.0","16-Aug-14",16,NA,"","","","FALCON","CROC2014816_F4",8,4,"WESA","CROC2014816","Crockett Lake","CROC","MERL","","No","8:40",2014
"142",1526,"Single attempt","From cover","Low surprise","4) Attack ","Shot past us on shore. Peeps up. Merl landed on post to SW","1.0","16-Aug-14",16,NA,"","","","FALCON","CROC2014816_F5",8,5,"WESA","CROC2014816","Crockett Lake","CROC","MERL","","No","9:26",2014
"143",2030,"","","","Flying","","1.0","17-Aug-15",17,NA,"","","","FALCON","BB922015817_F6",8,6,"","BB922015817","Boundary Bay 92","BB92","MERL","","","18:35",2015
"144",2039,"","","","3) Flying","Not sure, but Falco for sure; was only flying around, did not attempt to attack(or I didn't see it) shorebirds gone!","1.0","14-Aug-15",14,NA,"","","","FALCON","SANM2015814_F1",8,1,"","SANM2015814","San Malo","SANM","UNK","","","15:18",2015
"145",2031,"","from above","on the wing","Perch on power line","The merlin was perched on the power line and would periodically lift off and catch a dragonfly","1.0","17-Aug-15",17,NA,"","","","FALCON","BB922015817_F7",8,7,"Dragonflies","BB922015817","Boundary Bay 92","BB92","MERL","","","18:50",2015
"146",2036,"","","","2) Perch on mudflat/stump","Merlin perched nearby at 3pm. No WESA until merlin left.","1.0","15-Aug-15",15,NA,"","","","FALCON","FRCR2015815_F1",8,1,"","FRCR2015815","French Creek","FRCR","MERL","","","15:00",2015
"147",1222,"","","","","","0","",NA,1,"","I did not see any Falcons","","Falcon","BB042014719_F1",NA,NA,"","BB042014719","","BB04","Peregrine Falcon, Merlin","","","0.45833333299999995",NA
"148",2044,"","","","3) Flying","Just flying and distrubed them, no attack, no prey","1.0","16-Aug-15",16,NA,"","","","FALCON","SANM2015816_F1",8,1,"","SANM2015816","San Malo","SANM","MERL","","","17:22",2015
"149",2023,"","","","Perch on mudflat/stump","","1.0","16-Aug-15",16,NA,"","","","FALCON","BB922015816_F6",8,6,"","BB922015816","Boundary Bay 92","BB92","Falcon sp.","","","18:00",2015
